Depth	Vp
-5.5000	2.7079
-2.5000	2.7434
-2.0000	2.8220
-1.5000	3.0260
-1.2500	3.2310
-1.0000	3.2890
-0.6000	3.3470
-0.2000	3.6030
0.0500	3.8590
0.3000	4.0870
1.1500	4.3150
2.0000	4.3150
3.0000	4.3160
4.0000	4.3160
5.0000	4.3170
6.0000	4.5020
7.0000	4.6870
8.0000	5.2300
9.0000	5.7730
10.0000	5.7730
11.0000	5.7740
12.0000	5.8030
13.0000	5.8320
14.0000	5.8320
15.0000	5.8330
16.0000	5.9500
18.0000	6.0670
20.0000	6.0670
22.5000	6.0680
25.0000	6.4590
27.5000	6.8500
30.0000	6.8750
35.0000	6.9000
40.0000	7.1642
42.5000	7.5095
