Station Code	Station Name	Latitude	Longitude	Start	End	Data Center(s)
ADEP	Adere Lepo	7.77344	38.883831	2017-02-20	2017-10-03	IRISDMC
AJEE	Fandi Ajeera	7.25954	38.302601	2016-02-15	2016-10-18	IRISDMC
ANOL	Anole Museum	8.18231	39.180901	2016-02-24	2017-07-18	IRISDMC
ASSE	Assela	7.93739	39.128651	2016-02-25	2017-10-04	IRISDMC
BEKO	Bekoji Technical College	7.54153	39.259369	2016-02-25	2017-10-05	IRISDMC
BESH	Beshira Chafa	7.89624	38.928089	2016-02-18	2017-09-30	IRISDMC
BETI	Corbetti 2	7.19412	38.41172	2016-02-13	2017-09-27	IRISDMC
BRRR	Burra Birramau	7.19894	38.476089	2016-02-15	2017-09-28	IRISDMC
CHEF	Jima Chefie	7.14898	38.43211	2016-02-13	2017-09-27	IRISDMC
CHKA	Cheka Bokoji School	8.25696	39.220718	2017-02-19	2017-10-05	IRISDMC
CORB	Corbetti 1	7.22324	38.38504	2016-02-13	2017-09-27	IRISDMC
DORE	Dore Education Bureau	7.03129	38.3615	2017-02-23	2017-09-28	IRISDMC
FINH	Finchawa	6.9666	38.46207	2017-02-24	2017-09-28	IRISDMC
GALU	Gulbe Aluto 2	7.80116	38.7672	2016-02-17	2017-02-20	IRISDMC
GEBI	Gebi School	8.21852	39.106339	2017-02-19	2017-10-05	IRISDMC
GOND	Gonde School	8.04166	39.194618	2016-02-25	2017-10-04	IRISDMC
GRIM	Algrima	7.16118	38.394749	2016-02-13	2017-09-29	IRISDMC
GULA	Gulbe Aluto 1	7.84467	38.72617	2016-02-17	2017-09-30	IRISDMC
HABU	Habuie Gutwma	7.73701	38.726318	2016-02-17	2017-09-30	IRISDMC
HAWA	Hawassa University	7.05183	38.501701	2016-02-10	2017-09-29	IRISDMC
HURT	Hurtuba Village	8.12121	39.12833	2017-02-19	2017-08-20	IRISDMC
ITTE	Itteyyaa	8.12581	39.226139	2016-02-24	2017-10-04	IRISDMC
JIMA	Jima Dori	8.30641	38.998329	2017-02-16	2017-08-13	IRISDMC
JIRE	Jireme Bora	8.24042	38.933029	2017-02-15	2017-10-02	IRISDMC
KADO	Kuyera Adventist College	7.29486	38.65477	2016-02-14	2017-09-29	IRISDMC
MILA	Lake Military Base	7.12967	38.434429	2016-02-13	2017-02-23	IRISDMC
ODAS	Oda Shenan	8.12327	38.964619	2016-03-11	2017-10-03	IRISDMC
OGOL	Ogolcho Woreda Office	8.04029	39.014141	2016-04-08	2017-10-03	IRISDMC
OHIT	Ohito	7.71629	38.757702	2016-02-19	2017-02-20	IRISDMC
POWR	Aluto Power	7.78835	38.793758	2016-02-18	2017-07-15	IRISDMC
SAGU	Sagure	7.76035	39.160759	2016-02-25	2017-10-05	IRISDMC
SANK	Sankele National Park	7.19784	38.270828	2017-02-22	2017-09-27	IRISDMC
SHAS	Shaashamannee Military Base	7.20504	38.602951	2016-02-11	2017-02-12	IRISDMC
SPEC	Special Forces Base	7.15237	38.500992	2016-02-13	2017-09-27	IRISDMC
TAKO	Tatisa Kombolcha	7.2485	38.474442	2017-02-22	2017-03-18	IRISDMC
TATA	Tatesa Dedesa	7.2604	38.443981	2016-02-13	2016-10-05	IRISDMC
TULL	Tullu Toge School	8.18142	39.058128	2016-02-19	2017-10-03	IRISDMC
ULAR	Uli Arba	8.1435	39.077991	2016-02-18	2017-10-03	IRISDMC
URJI	Urji Mountain	7.18714	38.378971	2017-02-24	2017-06-13	IRISDMC
WOND	Wondo Genet University	7.09803	38.631409	2016-02-11	2017-09-29	IRISDMC
YIRG	Yirgalem	6.74371	38.389919	2016-02-11	2017-02-23	IRISDMC
