YearMonthDay	HrMinSec	Latitude	Latitude Error	Longitude	Longitude Error	Depth	Depth Error	Magnitude
20160216	11:40:58	7.05953	0.917074	38.4567	0.628847	7.00195	0.589946	3.013927
20160217	01:38:48	7.0995	0.757719	38.4849	1.02187	7.4707	1.47274	1.880876
20160220	02:54:06	7.06531	1.18068	38.4687	0.917897	9.49219	0.958281	2.757428
20160224	01:58:04	7.26169	0.718432	38.3907	0.423283	7.99805	0.227225	2.181481
20160224	22:49:52	7.08528	1.95842	38.4954	1.14893	2.87109	1.97949	2.278022
20160228	00:09:42	7.18376	0.188594	38.4244	0.316153	9.75586	0.30893	1.315576
20160302	20:52:32	7.21848	0.186325	38.4456	0.249545	7.17773	0.291934	3.293726
20160302	23:19:50	7.08687	1.20125	38.4849	1.38273	6.94336	0.45207	1.891693
20160304	22:51:32	7.17058	0.843673	38.4575	0.342267	5.03906	0.655183	2.174588
20160321	20:33:10	7.23632	0.205726	38.5005	0.297624	10.2832	0.450603	2.905039
20160323	23:30:16	7.19429	0.0910345	38.4259	0.0988169	2.43164	0.361211	1.123811
20160324	02:53:41	7.19324	0.137539	38.4244	0.144319	3.07617	0.509384	1.420716
20160325	00:38:37	7.17847	1.2535	38.4554	1.83179	5.71289	2.43559	1.270339
20160408	23:22:09	7.21217	0.436302	38.4442	1.10737	0.615234	2.19574	2.314351
20160420	03:07:36	7.03264	1.24128	38.5038	1.21673	9.19922	0.865934	1.764412
20160422	21:45:44	7.24789	0.837096	38.5047	0.511426	8.34961	1.27682	2.486469
20160427	07:16:24	7.3779	0.285087	38.4873	0.187435	15.293	0.801515	2.836762
20160427	22:16:01	7.19429	0.107823	38.4216	0.116327	1.25977	0.718682	2.31063
20160504	16:28:31	7.25115	0.462745	38.3977	0.529487	4.36523	1.35877	2.040262
20160511	23:18:46	7.4204	0.517867	38.5979	0.808302	16.5527	1.1237	2.618005
20160514	21:11:03	7.43102	0.547129	38.5204	1.13127	13.2715	3.21224	2.260331
20160517	01:05:42	7.41306	1.08251	38.5725	2.57401	10.4004	3.46491	2.463421
20160517	20:13:45	7.41518	0.713483	38.5641	0.982405	18.0176	2.58839	2.828238
20160517	20:18:26	7.42364	0.388671	38.5303	1.22501	20.6543	1.47659	3.128848
20160517	21:09:00	7.40676	1.63812	38.5641	1.16451	20.7715	2.17403	1.768153
20160517	21:59:42	7.44674	0.325814	38.5768	0.312676	17.3145	0.617772	2.926225
20160518	00:04:55	7.43732	0.364047	38.5331	0.667691	6.94336	2.18059	1.75675
20160530	23:25:04	7.19747	0.59054	38.3977	0.843088	3.83789	0.671488	2.475486
20160605	20:51:52	7.20116	0.0690599	38.397	0.0637754	2.63672	0.0949492	2.485976
20160611	17:24:20	7.25326	0.603357	38.3935	0.335089	6.12305	0.562643	1.69135
20160611	19:07:18	6.96375	1.6014	38.4538	0.761854	11.3379	1.35005	3.000781
20160611	23:23:33	7.21117	0.178191	38.3822	0.268333	3.42773	0.281507	2.335305
20160612	00:04:13	7.21959	0.478481	38.378	0.477877	3.07617	0.544156	1.899183
20160612	01:24:28	6.96269	1.72959	38.4538	0.984756	11.6895	1.16891	2.179516
20160612	02:49:31	7.26274	0.690343	38.3893	0.090392	3.36914	0.406658	1.604194
20160617	07:22:09	7.18588	0.316907	38.409	0.508329	6.00586	0.894304	2.287645
20160618	00:13:12	7.20694	0.150094	38.4033	0.0986229	0.849609	0.0769811	2.172734
20160720	22:34:17	6.99006	1.03421	38.4524	0.635021	8.93555	0.981686	2.031774
20160807	00:46:27	7.18485	0.192805	38.3878	0.21038	3.95508	0.255318	2.075805
20160811	23:23:04	7.41525	0.494072	38.5063	0.914793	18.4863	1.49005	3.100033
20160812	19:12:30	7.02584	2.07079	38.4665	2.12915	10.4004	2.40629	1.909316
20160812	22:35:28	7.00269	0.370247	38.458	0.252895	11.2207	0.832138	3.442489
20160814	13:47:32	7.17956	0.557641	38.4174	1.00003	3.60352	0.537085	1.787319
20160818	15:17:46	7.39403	0.631685	38.6387	0.729685	13.5645	1.37384	2.907617
20160819	01:29:47	7.413	1.19131	38.6246	0.599444	9.93164	1.65766	1.88022
20160819	23:40:00	7.18056	0.802329	38.4751	0.499644	3.66211	1.15156	1.983873
20160821	01:19:20	7.00479	2.07784	38.4651	0.966808	14.9121	1.98429	2.62743
20160822	16:18:11	7.02479	0.982841	38.4651	0.569195	10.0488	1.16913	2.390906
20160822	17:57:44	6.99954	0.184976	38.451	0.600878	12.041	0.525033	4.199845
20160822	17:59:43	7.04902	0.649986	38.444	0.525491	14.0332	0.48327	3.113075
20160822	18:27:54	7.03689	0.476557	38.4616	0.22576	13.418	0.41466	2.851186
20160823	00:34:15	7.01954	0.981268	38.4524	0.668607	12.8613	1.56696	2.083607
20160823	00:55:58	7.01743	0.895482	38.4538	0.309324	11.5137	1.21146	1.920594
20160824	02:37:02	6.99896	2.66609	38.4981	4.70174	16.1133	3.6591	2.190146
20160824	03:17:39	7.02899	0.616917	38.4721	0.523146	8.23242	0.677345	2.942762
20160827	11:13:23	7.00795	0.552022	38.4609	0.305623	10.5762	0.703595	3.751482
20160827	12:02:04	7.009	0.370469	38.4609	0.243002	10.1074	0.550905	2.382861
20160827	12:50:44	7.03531	0.44402	38.4679	0.256022	10.6934	0.508476	2.754342
20160827	13:56:35	7.0353	0.22625	38.4721	0.165417	9.28711	0.161702	3.093737
20160827	20:24:45	7.06687	1.3955	38.4834	0.681848	7.64648	0.800448	2.824403
20160829	22:43:03	7.00585	0.808266	38.4538	0.789509	8.87695	1.55298	2.732821
20160909	07:17:18	7.01741	1.35269	38.4707	1.41578	10.1074	1.50527	3.120783
20161007	02:32:31	7.02584	1.26185	38.4665	0.426235	9.81445	0.693676	2.429817
