LON LAT DEPTH(km) STRIKE DIP RAKE MAG PLON PLAT EQ_NUMBER
38.4456 7.21848 7.17773 9.11 69.3 22.21 3.293726 0 0 #1		
38.5005 7.23632 10.2832 102.90 83.59 -7.69 2.905039 0 0 #2	
38.5979 7.4204 16.5527 241.62 54.90 -75.28 2.618005 0 0 #3	
38.5768 7.44674 17.3145 253.62 46.49 -27.58 2.926225 0 0 #4		
38.458 7.00269 11.2207 2.26 36.75 -69.67 3.000781 0 0 #5	
38.451 6.99954 12.041 3.97 52.01 -74.70 4.199845 0 0 #6	
38.4609 7.00795 10.5762 7.75 26.81 -67.35 3.751482 0 0 #7
38.5584 7.4194 18.8965 210.47 78.15 80.80 3.122477 0 0 #8	
38.4687 7.06531 9.49219 210.13 76.11 -82.79 2.757428 0 0 #9
38.3822 7.21117 3.42773 265.72 24.81 35.42 2.335305 0 0 #10	 
38.4665 7.02584 10.4004 40.59 39.77 -29.05 1.909316 0 0 #11	
38.4651 7.02479 10.0488 209.33 46.92 -69.25 2.390906 0 0 #12
38.4538 7.00585 8.87695 258.39 50.61 -58.24 2.732821 0 0 #13
38.4665 7.02584 9.81445 42.35 39.67 -26.03 2.429817 0 0 #14
38.4336 7.15692 7.44141 174.94 69.30 22.21 2.506035 0 0 #15	
38.4287 7.18797 1.8457 110.00 50.00 90.00 2.000403 0 0 #16	
38.4637 6.99847 8.64258 179.78 55.30 -81.48 1.593206 0 0 #17
38.3998 7.15274 9.08203 101.53 77.03 15.36 1.477459 0 0 #18	
38.4484 7.19637 6.70898 112.78 60.00 0.00 1.966282 0 0 #19	
38.4259 7.19429 2.43164 181.51 60.50 5.73 1.123811 0 0 #20	
38.3977 7.19852 3.7793 260.30 75.16 -10.30 2.239745 0 0 #21
38.3907 7.19327 3.7793 264.00 88.01 -0.21 1.695657 0 0 #22
